art_no,name,competitor,link
0,AURDAL smaller version,Lowes,https://www.lowes.com/pd/ClosetMaid-ClosetMaid-Brightwood-16-in-White-Tower-Organizer/5000258697
0,"AURDAL wardrobe combination, white, 681/2-941/2x153/4x87"" - IKEA",Lowes,https://www.lowes.com/pd/ClosetMaid-ClosetMaid-Brightwood-25-in-White-Tower-Organizer/5000258695
0,"AURDAL wardrobe combination, white, 681/2-941/2x153/4x87"" - IKEA",Wal-mart,https://www.walmart.com/ip/Closetmaid-Suitesymphony-25-In-Starter-Kit/186539969?classType=VARIANT&from=/search
0,BAGGMUCK gray,Target,https://www.target.com/p/1-2-x2-6-boot-tray-black-mohawk/-/A-13742393#lnk=sametab
0,BAGGMUCK gray,Wal-mart,https://www.walmart.com/ip/Mainstays-All-Purpose-Polypropylene-Diamond-Indoor-Outdoor-Boot-Tray-Floor-Mat-Black-15-x-29/15734493?classType=VARIANT&athbdg=L1103&from=/search
50307936,BALKARP slpr so Vissle gray NA,Amazon,https://www.amazon.com/Futon-Loveseat-Sofa-Bed-Upholstered/dp/B0DT6JNC15/
50307936,BALKARP slpr so Vissle gray NA,Target,https://www.target.com/p/futon-sofa-black-room-essentials-8482/-/A-80944740#lnk=sametab
50307936,BALKARP slpr so Vissle gray NA,Wal-mart,https://www.walmart.com/ip/Mainstays-Studio-Futon-Gray-Linen-Upholstery/231838007?classType=REGULAR&athbdg=L1200&from=/search
50307936,BALKARP slpr so Vissle gray NA,Wayfair,https://www.wayfair.com/furniture/pdp/ebern-designs-mercia-661-wide-faux-leather-tufted-back-convertible-sofa-button-tufted-futon-sleeper-bed-nohx1318.html?piid=67506545
0,BANDPALPMAL sheet set QN light gray,Wal-mart,https://www.walmart.com/ip/Mainstays-Basic-Value-Microfiber-Bed-Sheet-Set-Light-Blue-Queen-4-Piece/5255710690?classType=VARIANT&athbdg=L1103&from=/search
50611022,"BEKVÄM  Step stool, rubberwood, 19 5/8 ",Amazon,https://www.amazon.com/BEEFURNI-Bathroom-Assemble-Manufacturer-Warranty/dp/B0CP947TV4?ref_=ast_sto_dp&th=1&psc=1
0,BERGPALM comforter set FU/QN green/stripe US,Target,https://www.target.com/p/cotton-woven-stripe-comforter-sham-set-threshold/-/A-85456777?preselect=85261538#lnk=sametab
0,BERGPALM comforter set FU/QN green/stripe US,Wal-mart,https://www.walmart.com/ip/Chezmoi-Collection-4-Piece-Cotton-Clip-Jacquard-Comforter-Set-Queen-Boho-Chic-Textured-Striped-Bedding-Cheille-Textured-Pillow-Cushion-Pale-Orange-Wh/8177665148?classType=VARIANT&from=/search
60477382,BILLY bookc 15 3/4x11x79 1/2  oak effect,Wayfair,https://www.wayfair.com/furniture/pdp/wade-logan-cannice-standard-bookcase-w007635262.html?piid=1135728944%2C1135729358#seemoreoptions-fk073zx1wwa
477337,BILLY bookc 31 1/2x11x41 3/4  black oak effect,Amazon,https://www.amazon.com/dp/B0034JXLGY/ref=sspa_dk_hqp_detail_aax_0?sp_csd=d2lkZ2V0TmFtZT1zcF9ocXBfc2hhcmVk&th=1
477337,BILLY bookc 31 1/2x11x41 3/4  black oak effect,Target,https://www.target.com/p/3-shelf-bookcase-room-essentials-153/-/A-54376270?preselect=54358450#lnk=sametab
477337,BILLY bookc 31 1/2x11x41 3/4  black oak effect,Wal-mart,https://www.walmart.com/ip/Mainstays-3-Shelf-Bookcase-with-Adjustable-Shelves-White/751729515
477337,BILLY bookc 31 1/2x11x41 3/4  black oak effect,Wayfair,https://www.wayfair.com/furniture/pdp/wade-logan-breayla-bookcase-w110087435.html?piid=1194449900%2C1194449902
10495864,BILLY bookc 31 1/2x11x79 1/2  birch effect,Target,https://www.target.com/p/5-shelf-bookcase-room-essentials-153/-/A-54376271?preselect=54360634#lnk=sametab
